employee_id,country,performance_score
ANON_67X57X48X48X48X48X69X69X52X52X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X52X54X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X52X57X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X53X54X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X54X50X50X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X54X50X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X54X54X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X54X54X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X54X54X54X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X54X54X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X54X56X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X54X57X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X56X53X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X56X54X49X,Luxembourg,5.0
ANON_67X57X48X48X48X48X69X69X56X54X53X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X57X49X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X57X50X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X69X57X55X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X69X57X55X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X70X50X54X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X50X54X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X70X50X56X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X70X51X53X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X70X51X54X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X51X56X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X52X48X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X70X53X48X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X53X51X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X55X56X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X56X56X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X70X57X55X54X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X70X57X57X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X48X54X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X48X57X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X49X50X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X49X52X56X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X49X53X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X50X48X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X50X57X48X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X51X48X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X51X52X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X51X53X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X51X54X49X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X52X53X57X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X52X54X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X52X55X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X53X49X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X53X52X52X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X53X55X48X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X53X57X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X54X48X57X,Luxembourg,2.0
ANON_67X57X48X48X48X48X69X71X54X51X54X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X54X56X51X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X55X51X53X,Luxembourg,5.0
ANON_67X57X48X48X48X48X69X71X56X49X55X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X56X51X49X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X56X51X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X56X53X52X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X56X53X55X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X56X54X56X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X56X56X50X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X57X52X54X,Luxembourg,3.0
ANON_67X57X48X48X48X48X69X71X57X55X51X,Luxembourg,4.0
ANON_67X57X48X48X48X48X69X71X57X55X56X,Luxembourg,4.0
